#id  z  band  RA  DEC  qso_mag  host_mag  sersic_index  reff_arcsec  reduced_chisq
090624.96+033122.7    0.614 R    136.604019165   3.522981882   20.06   21.60  1.19  0.86  1.09
021857.49-011338.9    0.511 I     34.739566803  -1.227481961   20.25   20.27  1.92  0.87  1.01
021857.49-011338.9    0.511 G     34.739566803  -1.227481961   21.09   22.15  2.52  0.61  1.07
021857.49-011338.9    0.511 R     34.739566803  -1.227481961   20.69   20.89  2.52  0.85  1.10
091626.76-004451.3    0.641 I    139.111526489  -0.747593999   19.21   20.73  4.52  0.93  1.47
091626.76-004451.3    0.641 G    139.111526489  -0.747593999   19.12   22.29  5.12  1.23  1.03
091626.76-004451.3    0.641 R    139.111526489  -0.747593999   19.20   21.75  5.12  1.23  1.07
091612.58+005126.1    0.630 I    139.052429199   0.857263982   22.96   19.81  4.83  0.72  1.16
091746.51+042422.9    0.618 I    139.443817139   4.406387806   19.07   20.81  0.58  0.85  1.99
091612.58+005126.1    0.630 G    139.052429199   0.857263982   24.23   22.36  4.23  0.46  1.00
091746.51+042422.9    0.618 G    139.443817139   4.406387806   19.41   22.63  1.19  0.80  1.39
091612.58+005126.1    0.630 R    139.052429199   0.857263982   25.06   20.80  4.97  0.70  1.01
091746.51+042422.9    0.618 R    139.443817139   4.406387806   19.29   21.63  1.19  0.90  1.87
092306.12+034143.6    0.619 I    140.775512695   3.695458889   19.40   20.52  3.03  0.42  1.27
092306.12+034143.6    0.619 G    140.775512695   3.695458889   19.25   22.62  3.63  0.72  1.25
092733.59-005114.7    0.608 I    141.889968872  -0.854099989   20.25   20.63  1.08  0.66  1.18
092733.59-005114.7    0.608 G    141.889968872  -0.854099989   20.29   22.86  1.68  0.95  1.35
092306.12+034143.6    0.619 R    140.775512695   3.695458889   19.36   20.77  3.63  0.48  1.28
092733.59-005114.7    0.608 R    141.889968872  -0.854099989   20.29   21.38  1.68  0.69  1.19
092756.05+014643.5    0.605 I    141.983551025   1.778772950   19.18   20.38  0.96  0.70  2.39
092322.60+043239.0    0.603 I    140.844192505   4.544177055   19.13   19.82  2.70  0.51  1.30
093543.68+014222.1    0.615 I    143.932022095   1.706145048   19.23   20.99  2.71  0.32  2.69
092756.05+014643.5    0.605 G    141.983551025   1.778772950   19.30   22.69  1.56  0.73  1.04
093543.68+014222.1    0.615 G    143.932022095   1.706145048   19.47   23.27  2.14  0.10  1.01
093559.39+015710.4    0.620 I    143.997467041   1.952913046   20.04   20.43  1.75  0.76  1.17
093559.39+015710.4    0.620 G    143.997467041   1.952913046   19.97   22.11  2.35  1.06  1.00
093909.42+014433.5    0.607 I    144.789276123   1.742648005   19.55   20.77  0.84  1.02  1.27
093543.68+014222.1    0.615 R    143.932022095   1.706145048   19.42   22.15  3.31  0.62  1.03
093909.42+014433.5    0.607 G    144.789276123   1.742648005   19.60   23.11  1.44  1.32  0.95
092322.60+043239.0    0.603 G    140.844192505   4.544177055   19.17   21.10  3.30  0.23  1.12
093559.39+015710.4    0.620 R    143.997467041   1.952913046   19.98   21.25  2.35  0.85  1.01
093909.42+014433.5    0.607 R    144.789276123   1.742648005   19.71   21.44  1.44  1.05  1.02
093925.92+011707.1    0.646 I    144.858001709   1.285328031   19.88   19.81  3.31  0.92  1.16
092756.05+014643.5    0.605 R    141.983551025   1.778772950   19.38   21.15  1.56  0.67  1.02
095018.66+005049.8    0.640 I    147.577789307   0.847172022   20.68   20.22  1.86  0.86  1.88
093925.92+011707.1    0.646 G    144.858001709   1.285328031   19.63   21.82  3.91  1.22  1.06
095018.66+005049.8    0.640 G    147.577789307   0.847172022   21.14   22.34  2.24  0.92  1.04
095018.66+005049.8    0.640 R    147.577789307   0.847172022   20.85   21.14  1.41  0.98  1.17
095225.42+021001.2    0.628 I    148.105957031   2.167006970   19.66   20.34  2.55  0.42  1.39
092322.60+043239.0    0.603 R    140.844192505   4.544177055   19.14   20.28  3.30  0.35  1.09
095225.42+021001.2    0.628 G    148.105957031   2.167006970   19.81   22.23  3.15  0.51  0.96
093925.92+011707.1    0.646 R    144.858001709   1.285328031   19.68   20.66  2.71  1.09  1.02
095225.42+021001.2    0.628 R    148.105957031   2.167006970   19.77   21.13  2.94  0.44  1.21
095601.64+005805.1    0.602 I    149.006851196   0.968106985   19.21   22.64  3.85  0.63  1.20
095601.64+005805.1    0.602 G    149.006851196   0.968106985   19.46   23.54  4.45  0.93  1.08
100106.38+030309.8    0.609 I    150.276596069   3.052731991   18.97   20.29  0.76  1.22  1.68
100823.63+023659.8    0.643 I    152.098480225   2.616617918   19.69   21.09  3.32  0.47  1.08
100106.38+030309.8    0.609 G    150.276596069   3.052731991   18.90   22.15  1.36  1.52  1.09
100823.63+023659.8    0.643 G    152.098480225   2.616617918   19.44   23.08  3.92  0.27  0.98
095601.64+005805.1    0.602 R    149.006851196   0.968106985   19.42   22.40  4.45  0.92  1.07
100106.38+030309.8    0.609 R    150.276596069   3.052731991   18.97   20.97  0.80  1.25  1.11
100823.63+023659.8    0.643 R    152.098480225   2.616617918   19.61   21.93  3.92  0.29  1.03
113422.34+004100.8    0.624 I    173.593093872   0.683556020   19.88   21.10  1.15  0.63  1.07
113422.34+004100.8    0.624 G    173.593093872   0.683556020   19.82   23.59  1.75  0.88  1.03
113422.34+004100.8    0.624 R    173.593093872   0.683556020   19.92   21.89  1.75  0.49  1.04
101000.05+001822.7    0.605 I    152.500213623   0.306311011   18.68   19.22  5.13  1.91  3.51
084623.47+001955.8    0.543 I    131.597808838   0.332181990   19.36   21.08  0.39  0.92  1.41
084623.47+001955.8    0.543 G    131.597808838   0.332181990   19.26   22.25  0.99  0.69  1.25
084623.47+001955.8    0.543 R    131.597808838   0.332181990   19.36   21.36  0.99  0.69  1.14
101000.05+001822.7    0.605 G    152.500213623   0.306311011   19.17   21.86  4.62  2.21  1.10
084141.07+025909.3    0.428 I    130.421127319   2.985935926   19.86   19.18  5.21  0.29  1.20
115216.12-005352.1    0.637 I    178.067199707  -0.897819996   18.91   20.77  0.88  0.80  2.06
115216.12-005352.1    0.637 G    178.067199707  -0.897819996   18.95   22.64  1.48  0.64  1.18
115216.12-005352.1    0.637 R    178.067199707  -0.897819996   18.94   21.97  0.76  0.99  1.66
084141.07+025909.3    0.428 G    130.421127319   2.985935926   20.00   20.41  4.62  0.10  1.20
084818.85+025938.8    0.516 I    132.078552246   2.994137049   19.01   19.56  1.03  1.25  4.00
120928.11+003511.6    0.610 I    182.367156982   0.586558998   19.62   20.61  1.33  1.08  1.82
084818.85+025938.8    0.516 G    132.078552246   2.994137049   19.12   21.13  1.34  1.48  1.31
120928.11+003511.6    0.610 G    182.367156982   0.586558998   20.53   22.84  0.73  1.20  1.26
084701.78+005714.1    0.417 I    131.757431030   0.953942001   20.46   19.07  1.71  1.59  4.30
084820.15+014620.3    0.572 I    132.083969116   1.772310972   19.92   20.05  7.00  2.87  1.78
120928.11+003511.6    0.610 R    182.367156982   0.586558998   20.02   21.49  1.16  1.22  1.66
084818.85+025938.8    0.516 R    132.078552246   2.994137049   19.01   20.12  1.02  1.47  1.01
084716.11+015617.9    0.576 I    131.817153931   1.938305974   19.97   20.56  5.71  1.08  1.08
084141.07+025909.3    0.428 R    130.421127319   2.985935926   19.94   19.69  5.80  0.23  1.02
084820.15+014620.3    0.572 G    132.083969116   1.772310972   19.81   22.30  6.40  3.17  1.19
101000.05+001822.7    0.605 R    152.500213623   0.306311011   19.10   20.28  5.68  2.17  2.13
084820.15+014620.3    0.572 R    132.083969116   1.772310972   20.08   20.96  6.40  3.17  1.19
084701.78+005714.1    0.417 G    131.757431030   0.953942001   20.60   20.72  1.75  1.68  2.20
122758.32-001519.8    0.629 I    186.993011475  -0.255517989   20.42   21.44  0.97  0.49  1.04
123048.08+004723.3    0.605 I    187.700363159   0.789825976   20.80   20.55  2.46  1.07  1.31
085038.51+014331.9    0.537 I    132.660476685   1.725554943   21.12   20.94  1.28  0.74  1.05
122758.32-001519.8    0.629 G    186.993011475  -0.255517989   20.50   23.84  1.57  0.79  1.00
123048.08+004723.3    0.605 G    187.700363159   0.789825976   20.54   22.13  3.06  0.77  1.06
084716.11+015617.9    0.576 G    131.817153931   1.938305974   19.90   22.17  6.31  1.35  1.04
122758.32-001519.8    0.629 R    186.993011475  -0.255517989   20.69   21.84  1.57  0.37  1.01
085451.72+012609.9    0.542 I    133.715515137   1.436108947   19.61   20.25  4.53  0.29  1.17
085038.51+014331.9    0.537 G    132.660476685   1.725554943   21.22   22.36  1.75  0.60  1.12
123048.08+004723.3    0.605 R    187.700363159   0.789825976   21.00   21.24  3.06  1.08  1.00
085512.67-000731.8    0.453 I    133.802810669  -0.125525996   19.32   20.09  1.19  1.26 10.77
085451.72+001153.3    0.536 I    133.715530395   0.198147997   20.51   20.63  6.47  0.12  1.07
085451.72+012609.9    0.542 G    133.715515137   1.436108947   19.59   22.10  5.13  0.59  1.34
084701.78+005714.1    0.417 R    131.757431030   0.953942001   20.58   19.60  1.54  1.64  2.62
085512.67-000731.8    0.453 G    133.802810669  -0.125525996   19.33   21.43  0.95  1.30  6.60
085038.51+014331.9    0.537 R    132.660476685   1.725554943   21.42   21.46  1.88  0.70  1.05
085451.72+001153.3    0.536 G    133.715530395   0.198147997   20.22   22.32  7.00  0.14  0.98
085451.72+012609.9    0.542 R    133.715515137   1.436108947   19.77   21.16  5.13  0.33  1.09
085512.67-000731.8    0.453 R    133.802810669  -0.125525996   19.46   20.39  0.94  1.26  9.68
123049.10+013556.2    0.649 I    187.704605103   1.598963976   19.45   20.44  4.82  2.16  1.71
085451.72+001153.3    0.536 R    133.715530395   0.198147997   20.76   20.82  7.00  0.14  0.97
123049.10+013556.2    0.649 G    187.704605103   1.598963976   19.19   22.57  4.22  2.46  1.22
084716.11+015617.9    0.576 R    131.817153931   1.938305974   20.05   21.31  6.31  1.00  1.04
085240.29+005351.4    0.493 I    133.167907715   0.897634029   19.40   19.75  3.04  0.88  1.73
123049.10+013556.2    0.649 R    187.704605103   1.598963976   19.40   21.08  5.42  2.40  1.51
085056.94+014711.0    0.413 I    132.737274170   1.786388993   19.80   19.31  4.43  0.63  1.82
085813.90+024525.8    0.525 I    134.557937622   2.757169008   19.95   20.15  1.46  1.17  2.07
085813.90+024525.8    0.525 G    134.557937622   2.757169008   19.76   21.65  2.02  1.34  1.16
122638.66-001114.0    0.643 I    186.661117554  -0.187246993   20.52   20.09  1.76  1.18  1.19
085954.98+032510.5    0.580 I    134.979110718   3.419584990   20.66   21.31  1.66  0.47  1.11
085813.90+024525.8    0.525 R    134.557937622   2.757169008   20.00   20.55  2.06  1.28  1.24
085944.86-000301.0    0.561 I    134.936935425  -0.050280999   20.00   20.20  1.93  1.13  1.31
090020.29+030514.8    0.590 I    135.084579468   3.087466002   20.47   21.13  4.19  0.39  1.34
085954.98+032510.5    0.580 G    134.979110718   3.419584990   20.64   23.37  2.26  0.60  1.02
085954.98+032510.5    0.580 R    134.979110718   3.419584990   20.61   22.15  2.26  0.68  1.01
085717.45+014547.1    0.580 I    134.322738647   1.763105035   19.65   20.59  0.87  0.41  1.01
085944.86-000301.0    0.561 G    134.936935425  -0.050280999   20.18   22.18  1.35  1.26  1.16
123744.38+010432.6    0.642 I    189.434951782   1.075723052   18.61   19.93  0.51  1.65  1.67
090133.42+031412.4    0.459 I    135.389282227   3.236797094   19.11   19.79  1.51  1.77  3.30
124542.67-014512.4    0.639 I    191.427825928  -1.753461003   19.01   21.04  2.21  0.39  0.95
085240.29+005351.4    0.493 G    133.167907715   0.897634029   20.05   21.96  2.44  1.18  1.55
090020.29+030514.8    0.590 G    135.084579468   3.087466002   20.71   21.62  4.68  0.11  0.96
123744.38+010432.6    0.642 G    189.434951782   1.075723052   18.67   21.33  0.90  1.95  4.03
124542.67-014512.4    0.639 G    191.427825928  -1.753461003   19.05   23.19  2.81  0.69  0.99
090133.42+031412.4    0.459 G    135.389282227   3.236797094   19.46   21.24  2.11  1.47  1.94
085944.86-000301.0    0.561 R    134.936935425  -0.050280999   20.22   21.00  1.62  1.27  1.16
090020.29+030514.8    0.590 R    135.084579468   3.087466002   20.36   22.08  4.79  0.69  1.05
123744.38+010432.6    0.642 R    189.434951782   1.075723052   18.56   20.50  0.61  1.82  2.62
124542.67-014512.4    0.639 R    191.427825928  -1.753461003   18.93   22.19  2.81  0.69  1.01
090133.42+031412.4    0.459 R    135.389282227   3.236797094   19.15   20.07  1.31  1.57  1.82
090408.33+043812.2    0.580 I    136.034729004   4.636735916   19.69   20.49  3.14  0.91  1.83
085056.94+014711.0    0.413 G    132.737274170   1.786388993   20.59   20.67  4.50  0.43  1.50
085717.45+014547.1    0.580 G    134.322738647   1.763105035   19.71   23.11  1.47  0.40  1.06
090408.33+043812.2    0.580 G    136.034729004   4.636735916   19.72   22.69  3.74  1.21  1.15
122638.66-001114.0    0.643 G    186.661117554  -0.187246993   20.14   22.41  1.64  1.12  1.05
090408.33+043812.2    0.580 R    136.034729004   4.636735916   19.80   21.23  3.74  1.18  1.06
090457.64+043141.0    0.484 I    136.240203857   4.528079987   19.77   20.30  6.97  0.19  2.27
090457.64+043141.0    0.484 G    136.240203857   4.528079987   19.79   22.56  7.00  0.49  1.07
085240.29+005351.4    0.493 R    133.167907715   0.897634029   19.72   20.52  2.44  0.96  1.27
140526.32-011042.1    0.637 I    211.359695435  -1.178387046   19.47   19.78  0.51  1.05  2.79
090215.35+032408.0    0.430 I    135.563995361   3.402245998   19.32   18.88  1.07  1.59  2.04
090457.64+043141.0    0.484 R    136.240203857   4.528079987   20.33   20.04  7.00  0.49  1.12
090901.23+001505.2    0.581 I    137.255142212   0.251455009   19.68   20.88  1.97  0.94  1.28
090901.23+001505.2    0.581 G    137.255142212   0.251455009   19.76   22.43  2.57  0.64  1.08
090305.91+014850.7    0.444 I    135.774658203   1.814105034   19.56   19.22  0.77  1.06  3.65
085717.45+014547.1    0.580 R    134.322738647   1.763105035   29.26   19.52  0.49  0.11  1.15
140526.32-011042.1    0.637 G    211.359695435  -1.178387046   19.47   21.38  0.33  1.04  2.23
090901.23+001505.2    0.581 R    137.255142212   0.251455009   19.71   21.58  2.57  1.06  1.17
085056.94+014711.0    0.413 R    132.737274170   1.786388993   19.95   20.04  3.98  0.80  1.30
091001.31+031900.9    0.536 I    137.505477905   3.316940069   19.68   19.93  4.31  0.20  1.67
090227.16+044309.5    0.532 I    135.613174439   4.719319820   18.84   18.71  2.67  1.35  3.09
122638.66-001114.0    0.643 R    186.661117554  -0.187246993   20.84   21.07  1.90  1.22  1.09
091232.94+001653.1    0.557 I    138.137252808   0.281441003   20.83   20.28  2.56  0.87  1.78
141107.29+011345.3    0.627 I    212.780395508   1.229251027   18.36   20.22  6.98  3.37  2.85
140526.32-011042.1    0.637 R    211.359695435  -1.178387046   19.55   20.46  0.54  1.08  1.71
090702.81+011744.3    0.571 I    136.761718750   1.295655966   19.08   21.06  2.88  0.58  1.11
091243.13+012013.4    0.541 I    138.179733276   1.337064981   19.24   20.35  1.06  1.01  1.39
091001.31+031900.9    0.536 G    137.505477905   3.316940069   20.32   21.78  4.91  0.22  1.04
091232.94+001653.1    0.557 G    138.137252808   0.281441003   20.79   22.26  3.16  0.57  1.66
090417.32-002803.2    0.499 I    136.072174072  -0.467568010   19.21   19.64  3.72  0.88  1.99
091243.13+012013.4    0.541 G    138.179733276   1.337064981   19.29   22.56  0.46  1.28  1.17
090215.35+032408.0    0.430 G    135.563995361   3.402245998   19.13   21.07  1.51  1.62  1.18
091232.94+001653.1    0.557 R    138.137252808   0.281441003   22.06   20.29  3.16  0.57  1.49
091400.32-003233.7    0.531 I    138.501358032  -0.542698979   19.94   21.90  2.89  0.90  1.14
091243.13+012013.4    0.541 R    138.179733276   1.337064981   19.36   20.94  1.50  0.90  1.03
090702.81+011744.3    0.571 G    136.761718750   1.295655966   19.23   22.29  3.48  0.38  1.04
091001.31+031900.9    0.536 R    137.505477905   3.316940069   20.26   19.96  3.71  0.10  1.09
091400.32-003233.7    0.531 G    138.501358032  -0.542698979   20.84   23.20  3.49  1.20  1.00
090305.91+014850.7    0.444 G    135.774658203   1.814105034   19.68   20.91  0.30  1.17  1.45
141107.29+011345.3    0.627 G    212.780395508   1.229251027   18.50   21.44  7.00  3.07  1.60
091400.32-003233.7    0.531 R    138.501358032  -0.542698979   20.61   22.20  3.49  0.85  1.06
090227.16+044309.5    0.532 G    135.613174439   4.719319820   19.12   21.02  3.27  1.65  1.35
091556.74+035805.9    0.457 I    138.986450195   3.968333006   19.33   19.51  1.23  1.44  6.85
091556.74+035805.9    0.457 G    138.986450195   3.968333006   19.33   21.33  1.03  1.60  1.66
090702.81+011744.3    0.571 R    136.761718750   1.295655966   19.12   22.09  3.48  0.88  1.16
091556.74+035805.9    0.457 R    138.986450195   3.968333006   19.28   20.14  0.64  1.70  1.55
142652.24+425648.9    0.626 I    216.717697144  42.946918487   20.50   19.19  3.32  0.51  1.15
142652.24+425648.9    0.626 G    216.717697144  42.946918487   19.89   21.40  3.92  0.81  1.02
091437.91+024559.2    0.427 I    138.657974243   2.766452074   20.03   19.69  3.88  0.74  1.34
143005.51-011321.6    0.606 I    217.522994995  -1.222679019   18.81   20.03  0.90  1.13  1.76
090215.35+032408.0    0.430 R    135.563995361   3.402245998   19.28   19.42  1.31  1.70  1.21
090417.32-002803.2    0.499 G    136.072174072  -0.467568010   19.12   21.30  3.67  1.08  1.37
090305.91+014850.7    0.444 R    135.774658203   1.814105034   19.57   19.79  0.38  1.15  1.78
091700.77+040711.4    0.585 I    139.253219605   4.119833946   19.93   21.65  1.17  0.47  1.17
142652.24+425648.9    0.626 R    216.717697144  42.946918487   20.61   19.82  3.92  0.44  1.43
143005.51-011321.6    0.606 G    217.522994995  -1.222679019   18.87   21.76  1.50  1.43  1.13
091700.77+040711.4    0.585 G    139.253219605   4.119833946   19.82   23.85  1.77  0.77  1.12
141107.29+011345.3    0.627 R    212.780395508   1.229251027   18.43   20.72  6.62  3.07  2.01
091700.77+040711.4    0.585 R    139.253219605   4.119833946   20.21   21.11  0.57  0.17  1.36
143005.51-011321.6    0.606 R    217.522994995  -1.222679019   18.95   20.72  1.06  1.19  1.17
091650.81+020854.5    0.583 I    139.211746216   2.148473024   20.48   20.92  2.39  0.61  1.41
091437.91+024559.2    0.427 G    138.657974243   2.766452074   20.47   21.53  4.48  0.49  1.11
092153.35+002244.0    0.492 I    140.472320557   0.378895015   19.77   20.12  0.48  0.91  2.34
143306.57-012922.9    0.626 I    218.277389526  -1.489712000   19.59   20.23  0.62  0.85  1.39
091650.81+020854.5    0.583 G    139.211746216   2.148473024   20.64   23.84  1.79  0.91  1.23
092153.35+002244.0    0.492 G    140.472320557   0.378895015   19.69   21.31  1.08  0.83  1.27
144100.02+014501.2    0.642 I    220.250091553   1.750360012   19.62   20.59  0.63  0.87  3.38
090227.16+044309.5    0.532 R    135.613174439   4.719319820   19.06   19.29  3.00  1.19  1.30
143306.57-012922.9    0.626 G    218.277389526  -1.489712000   19.73   21.50  1.22  0.71  1.26
092153.35+002244.0    0.492 R    140.472320557   0.378895015   19.84   20.41  0.99  0.91  1.26
144100.02+014501.2    0.642 G    220.250091553   1.750360012   19.55   22.74  1.23  1.13  1.08
092215.14+040843.2    0.504 I    140.563095093   4.145338059   19.72   19.96  0.79  1.08  2.46
091650.81+020854.5    0.583 R    139.211746216   2.148473024   20.60   21.59  2.99  0.67  1.12
092347.47-001951.1    0.472 I    140.947830200  -0.330884010   18.79   18.72  3.51  0.37  1.77
144100.02+014501.2    0.642 R    220.250091553   1.750360012   19.69   21.36  1.23  0.78  1.05
143306.57-012922.9    0.626 R    218.277389526  -1.489712000   19.90   20.85  0.67  0.79  1.09
090417.32-002803.2    0.499 R    136.072174072  -0.467568010   19.16   20.16  4.31  1.07  1.44
091437.91+024559.2    0.427 R    138.657974243   2.766452074   19.80   20.55  4.48  1.04  1.10
092215.14+040843.2    0.504 G    140.563095093   4.145338059   20.17   21.57  1.08  1.12  1.37
092347.47-001951.1    0.472 G    140.947830200  -0.330884010   18.91   19.55  4.11  0.10 20.02
092215.14+040843.2    0.504 R    140.563095093   4.145338059   20.03   20.48  0.70  1.17  1.12
092347.47-001951.1    0.472 R    140.947830200  -0.330884010   18.72   19.13  4.11  0.16  2.21
092549.74+020201.0    0.592 I    141.457290649   2.033622980   19.17   19.77  1.12  1.18  2.98
092549.74+020201.0    0.592 G    141.457290649   2.033622980   18.89   22.38  1.54  1.48  1.14
144646.02+433140.1    0.633 I    221.691787720  43.527809143   18.66   19.11  1.67  1.12  2.05
144430.21+000949.3    0.631 I    221.125900269   0.163719997   19.24   20.14  3.24  1.19  1.32
092549.74+020201.0    0.592 R    141.457290649   2.033622980   19.17   20.58  1.72  1.48  1.06
144646.02+433140.1    0.633 G    221.691787720  43.527809143   18.51   22.03  2.27  1.42  1.11
092206.47+011241.6    0.584 I    140.526962280   1.211570978   19.72   20.37  7.00  2.07  1.50
145246.64+442236.6    0.602 I    223.194335938  44.376834869   19.77   20.07  7.00  0.26  1.01
144551.13-000650.3    0.626 I    221.463073731  -0.113996998   19.64   20.36  0.97  0.89  6.29
144646.02+433140.1    0.633 R    221.691787720  43.527809143   18.73   19.83  2.02  1.16  2.22
145246.64+442236.6    0.602 G    223.194335938  44.376834869   19.48   22.31  6.87  0.56  1.20
092738.09+014431.1    0.418 I    141.908737183   1.741991043   20.06   18.98  2.80  1.86  1.36
145323.78+002800.6    0.646 I    223.349090576   0.466834009   20.72   20.93  2.79  0.48  1.05
144551.13-000650.3    0.626 G    221.463073731  -0.113996998   19.90   22.40  1.37  1.11  1.25
092738.09+014431.1    0.418 G    141.908737183   1.741991043   20.27   20.92  3.16  1.99  1.13
145246.64+442236.6    0.602 R    223.194335938  44.376834869   19.74   20.71  6.40  0.52  1.26
145323.78+002800.6    0.646 G    223.349090576   0.466834009   20.91   23.10  3.39  0.48  0.99
092738.09+014431.1    0.418 R    141.908737183   1.741991043   19.95   19.47  3.40  2.16  1.21
144430.21+000949.3    0.631 G    221.125900269   0.163719997   19.27   22.11  3.84  1.49  1.25
092745.11+035825.8    0.466 I    141.937973022   3.973843098   19.42   20.21  1.76  0.55  1.33
145323.78+002800.6    0.646 R    223.349090576   0.466834009   20.83   22.42  2.21  0.74  0.98
092745.11+035825.8    0.466 G    141.937973022   3.973843098   19.25   20.99  2.36  0.37  1.06
144546.17+000616.7    0.611 I    221.442398071   0.104647003   19.01   20.39  2.27  2.56  1.61
092330.94-000243.1    0.482 I    140.878952026  -0.045327000   18.92   20.48  2.39  1.10  1.42
144551.13-000650.3    0.626 R    221.463073731  -0.113996998   19.79   21.34  0.61  0.90  1.86
092745.11+035825.8    0.466 R    141.937973022   3.973843098   19.30   21.01  1.16  0.47  1.83
145529.53-015524.0    0.625 I    223.873046875  -1.923346996   19.52   19.24  4.36  1.16  1.56
092814.61+005630.9    0.406 I    142.060913086   0.941932023   19.85   18.92  3.67  0.64  1.28
092206.47+011241.6    0.584 G    140.526962280   1.211570978   19.76   23.52  6.56  2.37  1.08
145529.53-015524.0    0.625 G    223.873046875  -1.923346996   19.45   21.07  4.96  0.93  1.13
092814.61+005630.9    0.406 G    142.060913086   0.941932023   19.45   20.86  4.27  0.81  1.28
093315.06+014855.4    0.570 I    143.312759399   1.815407038   19.32   22.21  1.67  0.55  1.15
144546.17+000616.7    0.611 G    221.442398071   0.104647003   18.98   21.52  2.56  2.85  1.10
092451.39-000537.5    0.462 I    141.214126587  -0.093772002   19.93   19.50  1.56  0.61  2.59
093315.06+014855.4    0.570 G    143.312759399   1.815407038   19.25   23.61  2.27  0.85  0.87
144430.21+000949.3    0.631 R    221.125900269   0.163719997   19.28   21.08  3.35  1.49  1.25
093652.74+014328.0    0.434 I    144.219757080   1.724444985   18.61   20.73  0.79  0.74  1.86
150028.89+443905.9    0.631 I    225.120376587  44.651657105   19.12   20.27  1.02  0.89  1.32
092814.61+005630.9    0.406 R    142.060913086   0.941932023   19.70   19.50  4.27  0.78  1.07
093315.06+014855.4    0.570 R    143.312759399   1.815407038   19.23   22.97  2.27  0.85  0.95
093652.74+014328.0    0.434 G    144.219757080   1.724444985   18.56   23.16  1.39  1.04  0.77
150114.50-011839.7    0.645 I    225.310424805  -1.311053038   19.19   22.29  0.30  1.55  2.50
145529.53-015524.0    0.625 R    223.873046875  -1.923346996   19.54   19.96  4.96  1.29  1.18
094121.33+011147.8    0.445 I    145.338912964   1.196614981   18.38   20.42  3.32  0.48  1.21
093652.74+014328.0    0.434 R    144.219757080   1.724444985   18.43   22.18  1.39  1.04  0.93
094121.33+011147.8    0.445 G    145.338912964   1.196614981   18.67   22.35  3.92  0.78  1.01
092330.94-000243.1    0.482 G    140.878952026  -0.045327000   18.90   22.70  2.99  1.40  1.15
150028.89+443905.9    0.631 G    225.120376587  44.651657105   18.98   21.83  1.62  1.19  1.02
094121.33+011147.8    0.445 R    145.338912964   1.196614981   18.47   21.32  3.92  0.78  0.89
150114.50-011839.7    0.645 G    225.310424805  -1.311053038   19.56   25.10  0.30  1.85  1.61
150028.89+443905.9    0.631 R    225.120376587  44.651657105   19.16   20.89  1.62  1.16  1.02
144546.17+000616.7    0.611 R    221.442398071   0.104647003   19.05   20.52  2.57  2.54  1.18
092451.39-000537.5    0.462 G    141.214126587  -0.093772002   19.93   21.36  1.46  0.57  1.15
150114.50-011839.7    0.645 R    225.310424805  -1.311053038   19.39   22.48  0.41  1.71  1.80
094145.26-003517.4    0.569 I    145.438613892  -0.588172972   19.64   19.89  3.10  1.00  2.71
092206.47+011241.6    0.584 R    140.526962280   1.211570978   20.06   20.78  6.85  1.78  1.03
095021.25+001707.3    0.533 I    147.588577270   0.285362005   20.19   20.12  0.88  0.73  4.39
092330.94-000243.1    0.482 R    140.878952026  -0.045327000   19.03   21.29  2.81  1.40  1.13
095021.25+001707.3    0.533 G    147.588577270   0.285362005   20.14   21.92  0.86  0.67  1.09
095426.96+030204.9    0.466 I    148.612365723   3.034720898   21.10   20.60  2.64  0.19  1.03
095220.93+021626.7    0.499 I    148.087219238   2.274104118   19.50   19.46  2.05  0.98  1.66
095426.96+030204.9    0.466 G    148.612365723   3.034720898   20.96   21.60  2.04  0.10  1.27
095021.25+001707.3    0.533 R    147.588577270   0.285362005   20.32   20.71  0.83  0.71  1.35
095311.61+033821.4    0.419 I    148.298416138   3.639278889   18.97   19.09  1.78  0.96  1.65
095426.96+030204.9    0.466 R    148.612365723   3.034720898   21.72   20.82  3.21  0.11  1.03
094145.26-003517.4    0.569 G    145.438613892  -0.588172972   19.72   21.67  3.57  0.96  1.10
095823.73+011235.7    0.505 I    149.598907471   1.209936976   19.81   19.38  7.00  0.51  1.44
100324.56+021831.3    0.518 I    150.852355957   2.308701038   19.14   19.03  6.68  0.23  2.58
095915.20+031617.4    0.461 I    149.813369751   3.271519899   19.75   19.83  3.56  0.48  1.33
092451.39-000537.5    0.462 R    141.214126587  -0.093772002   20.32   19.87  2.16  0.45  1.21
095220.93+021626.7    0.499 G    148.087219238   2.274104118   19.50   21.49  2.65  0.98  1.12
100324.56+021831.3    0.518 G    150.852355957   2.308701038   18.61   22.51  6.73  0.53  2.13
095823.73+011235.7    0.505 G    149.598907471   1.209936976   20.09   20.70  7.00  0.50  1.20
095915.20+031617.4    0.461 G    149.813369751   3.271519899   20.13   21.61  4.16  0.78  1.05
153547.13+432245.0    0.639 I    233.946395874  43.379173279   19.38   19.84  4.57  2.64  1.24
100324.56+021831.3    0.518 R    150.852355957   2.308701038   21.56   18.56  6.08  0.12  1.90
095311.61+033821.4    0.419 G    148.298416138   3.639278889   18.81   20.68  1.80  1.08  1.05
095625.93-000353.0    0.512 I    149.108078003  -0.064746000   18.69   19.26  2.60  0.82  5.02
