#id  z  band  RA  DEC  qso_mag  host_mag  sersic_index  reff_arcsec  reduced_chisq
092856.26+013245.9    0.284 I    142.234451294   1.546103954   19.12   18.83  1.60  0.93  5.00
092301.35+021128.9    0.343 R    140.755630493   2.191375971   19.02   19.01  0.64  2.09  2.01
092322.64+020135.6    0.383 I    140.844360352   2.026560068   28.13   18.55  4.26  0.99  2.27
094510.04-001534.1    0.326 I    146.291839600  -0.259485006   20.73   19.73  6.54  0.61  1.77
092856.26+013245.9    0.284 G    142.234451294   1.546103954   19.58   20.18  2.20  0.87  1.68
094510.04-001534.1    0.326 G    146.291839600  -0.259485006   20.40   21.54  7.00  0.83  1.02
092856.26+013245.9    0.284 R    142.234451294   1.546103954   19.19   19.20  2.20  0.96  1.48
094510.04-001534.1    0.326 R    146.291839600  -0.259485006   20.35   20.17  7.00  0.91  1.12
091512.79+001824.7    0.308 R    138.803314209   0.306876987   18.75   19.88  1.96  1.06  1.12
092256.42+042733.3    0.264 G    140.735092163   4.459255219   19.52   18.88  1.17  3.98  1.95
092322.64+020135.6    0.383 G    140.844360352   2.026560068   20.10   20.57  3.66  1.29  1.28
093708.51+012543.9    0.332 I    144.285491943   1.428876996   19.98   18.76  3.38  1.16  1.48
095608.26+002812.8    0.310 I    149.034439087   0.470239997   19.21   19.32  6.09  1.74  1.48
093708.51+012543.9    0.332 G    144.285491943   1.428876996   20.17   20.46  2.78  1.31  1.07
095608.26+002812.8    0.310 G    149.034439087   0.470239997   19.16   20.78  5.60  2.04  1.18
100025.24+015852.0    0.373 I    150.105194092   1.981132984   19.06   21.15  7.00  5.00  1.91
095902.76+021906.3    0.345 I    149.761505127   2.318428993   19.33   18.96  2.72  1.03  1.62
100025.24+015852.0    0.373 G    150.105194092   1.981132984   19.02   21.78  6.40  5.00  1.50
094915.33-005921.3    0.356 I    147.313888550  -0.989268005   19.73   20.34  1.00  0.60  1.36
092256.42+042733.3    0.264 R    140.735092163   4.459255219   19.24   17.82  1.22  3.69  2.23
095608.26+002812.8    0.310 R    149.034439087   0.470239997   19.25   19.74  6.54  2.04  1.20
095902.76+021906.3    0.345 G    149.761505127   2.318428993   19.44   20.72  3.18  1.33  1.54
092322.64+020135.6    0.383 R    140.844360352   2.026560068   25.72   18.92  4.86  0.89  1.41
095819.87+022903.5    0.345 I    149.582809448   2.484308004   19.26   18.47  1.27  1.61  3.07
100025.24+015852.0    0.373 R    150.105194092   1.981132984   18.90   21.60  6.40  5.00  1.61
095902.76+021906.3    0.345 R    149.761505127   2.318428993   19.26   19.34  3.32  0.98  1.57
093708.51+012543.9    0.332 R    144.285491943   1.428876996   19.78   19.21  2.79  1.23  1.13
095819.87+022903.5    0.345 G    149.582809448   2.484308004   19.06   19.87  1.31  1.91  1.45
100140.12-000123.4    0.350 I    150.417175293  -0.023185000   19.44   18.97  1.03  1.05  6.13
094915.33-005921.3    0.356 G    147.313888550  -0.989268005   20.29   20.73  1.53  0.30  1.08
101133.16+011451.1    0.370 I    152.888198853   1.247553945   20.61   18.96  2.40  1.24  2.78
095819.87+022903.5    0.345 R    149.582809448   2.484308004   19.04   18.94  1.26  1.80  2.05
101133.16+011451.1    0.370 G    152.888198853   1.247553945   19.89   20.76  3.00  1.54  1.18
100140.12-000123.4    0.350 G    150.417175293  -0.023185000   20.30   20.18  1.63  0.95  1.20
100043.13+020637.2    0.360 I    150.179733276   2.110347032   20.78   18.95  2.22  1.57  7.36
101133.16+011451.1    0.370 R    152.888198853   1.247553945   19.96   19.46  2.54  1.54  2.62
094915.33-005921.3    0.356 R    147.313888550  -0.989268005   19.76   20.71  1.60  0.47  1.07
100043.13+020637.2    0.360 G    150.179733276   2.110347032   20.76   20.45  2.82  1.87  1.37
100140.12-000123.4    0.350 R    150.417175293  -0.023185000   19.89   19.15  1.46  1.03  2.29
100929.40+020923.1    0.317 I    152.372512817   2.156420946   20.04   18.40  2.67  1.74  1.70
100043.13+020637.2    0.360 R    150.179733276   2.110347032   20.93   19.33  2.81  1.64  3.19
114718.05-013206.9    0.382 I    176.825241089  -1.535266042   18.58   19.04  0.51  1.18  6.15
114455.78-002142.7    0.351 I    176.232437134  -0.361873001   18.77   19.87  1.18  0.59  2.03
114718.05-013206.9    0.382 G    176.825241089  -1.535266042   18.71   20.11  0.78  1.11  2.92
114718.05-013206.9    0.382 R    176.825241089  -1.535266042   18.88   19.56  0.30  1.28  2.72
114455.78-002142.7    0.351 G    176.232437134  -0.361873001   18.65   22.16  1.78  0.89  2.87
100929.40+020923.1    0.317 G    152.372512817   2.156420946   20.08   20.26  2.40  1.83  1.21
114455.78-002142.7    0.351 R    176.232437134  -0.361873001   18.45   19.82  1.78  0.45  1.91
114004.35-010527.5    0.347 I    175.018142700  -1.090978980   20.49   18.17  3.64  1.98  1.39
115306.94-004512.7    0.357 I    178.278945923  -0.753552020   19.31   19.30  0.72  0.98 13.81
120312.13+015321.3    0.296 I    180.800567627   1.889250994   19.90   17.84  1.53  1.42  3.75
114004.35-010527.5    0.347 G    175.018142700  -1.090978980   19.92   20.20  3.04  2.28  1.32
115306.94-004512.7    0.357 G    178.278945923  -0.753552020   19.35   20.41  1.17  0.81  2.25
120732.72-013819.3    0.324 I    181.886337280  -1.638720036   19.62   18.26  2.26  0.77  4.19
121415.15+005511.5    0.396 I    183.563156128   0.919876993   18.43   21.08  0.39  0.79  3.02
121415.15+005511.5    0.396 G    183.563156128   0.919876993   18.45   21.83  0.99  0.56  1.59
122015.70-000251.6    0.397 I    185.065429688  -0.047667999   19.50   19.08  1.82  1.29  7.11
115306.94-004512.7    0.357 R    178.278945923  -0.753552020   19.23   19.65  0.70  1.00  8.30
120710.25+000806.1    0.383 I    181.792709351   0.135052994     -99   18.34  2.29  1.44  8.24
121415.15+005511.5    0.396 R    183.563156128   0.919876993   18.43   20.58  0.99  0.67  1.82
120732.72-013819.3    0.324 G    181.886337280  -1.638720036   19.71   19.70  1.66  0.96  1.68
120312.13+015321.3    0.296 G    180.800567627   1.889250994   19.62   19.59  1.23  1.72  3.14
122015.70-000251.6    0.397 G    185.065429688  -0.047667999   19.71   20.79  2.18  1.36  1.44
100929.40+020923.1    0.317 R    152.372512817   2.156420946   19.84   18.99  2.19  1.72  1.36
114004.35-010527.5    0.347 R    175.018142700  -1.090978980   19.86   18.76  3.04  2.28  1.31
122015.70-000251.6    0.397 R    185.065429688  -0.047667999   19.49   19.67  1.68  1.33  3.62
120553.75+013201.0    0.387 I    181.473983765   1.533628941   19.77   19.41  1.30  0.53  2.93
120732.72-013819.3    0.324 R    181.886337280  -1.638720036   19.57   18.71  1.93  0.85  2.77
122009.55-013201.1    0.287 I    185.039794922  -1.533648968   19.37   18.47  3.00  0.92  1.37
120710.25+000806.1    0.383 G    181.792709351   0.135052994   23.07   19.97  1.69  1.45  2.41
122009.55-013201.1    0.287 G    185.039794922  -1.533648968   19.97   20.31  2.40  1.22  1.15
120312.13+015321.3    0.296 R    180.800567627   1.889250994   19.53   18.52  1.36  1.62  4.44
122102.95-000733.7    0.366 I    185.262298584  -0.126038000   21.41   18.32  2.47  0.41  9.14
122641.42-002005.0    0.353 I    186.672622681  -0.334740996   22.12   19.15  4.74  1.01  1.46
120553.75+013201.0    0.387 G    181.473983765   1.533628941   19.52   21.77  1.90  0.62  1.23
124730.96-014227.7    0.347 I    191.879028320  -1.707716942   18.96   18.50  1.48  1.86  1.60
123246.62-013639.8    0.325 I    188.194259644  -1.611081958   19.13   18.35  7.00  1.85  1.55
124730.96-014227.7    0.347 G    191.879028320  -1.707716942   18.75   20.34  2.08  2.16  1.27
120710.25+000806.1    0.383 R    181.792709351   0.135052994   22.33   18.87  1.69  1.47  5.65
122009.55-013201.1    0.287 R    185.039794922  -1.533648968   20.22   19.05  2.63  1.01  1.14
122823.80+001430.7    0.285 I    187.099197388   0.241868004   19.07   18.19  3.83  3.20 72.29
122102.95-000733.7    0.366 G    185.262298584  -0.126038000   21.05   19.26  3.07  0.31  1.72
122641.42-002005.0    0.353 G    186.672622681  -0.334740996   21.53   20.61  5.34  0.77  1.16
124730.96-014227.7    0.347 R    191.879028320  -1.707716942   18.74   19.00  1.70  2.12  1.39
123246.62-013639.8    0.325 G    188.194259644  -1.611081958   19.72   19.40  6.40  1.96  2.09
122823.80+001430.7    0.285 G    187.099197388   0.241868004   19.04   19.90  3.46  3.50  2.26
125503.98+001253.4    0.377 I    193.766601562   0.214853004   18.56   19.46  1.70  1.45  1.12
125503.98+001253.4    0.377 G    193.766601562   0.214853004   18.52   19.81  2.30  1.15  7.36
120553.75+013201.0    0.387 R    181.473983765   1.533628941   19.47   20.12  1.64  0.55  2.26
122102.95-000733.7    0.366 R    185.262298584  -0.126038000   20.44   18.72  1.87  0.44  3.49
125503.98+001253.4    0.377 R    193.766601562   0.214853004   18.41   20.00  1.25  1.75  2.06
134459.44-001559.5    0.245 I    206.247695923  -0.266537011   18.15   18.89  7.00  1.21  1.39
122641.42-002005.0    0.353 R    186.672622681  -0.334740996   21.67   19.51  5.18  0.88  1.34
123246.62-013639.8    0.325 R    188.194259644  -1.611081958   18.69   18.41  6.94  2.15  2.65
122823.80+001430.7    0.285 R    187.099197388   0.241868004   19.11   18.81  3.23  3.50  7.37
134459.44-001559.5    0.245 G    206.247695923  -0.266537011   18.59   20.08  7.00  1.36  1.44
134459.44-001559.5    0.245 R    206.247695923  -0.266537011   18.66   18.90  7.00  1.51  1.53
140716.16-010102.6    0.383 I    211.817337036  -1.017390013   20.96   18.77  3.83  1.40  1.76
140716.16-010102.6    0.383 G    211.817337036  -1.017390013   21.16   20.72  3.84  1.28  1.14
135908.00+002731.8    0.257 I    209.783355713   0.458855003   18.49   18.47  1.49  1.31  1.82
141131.86+442001.0    0.259 I    212.882751465  44.333621979   19.87   17.36  6.49  1.47  1.31
140716.16-010102.6    0.383 R    211.817337036  -1.017390013   20.95   19.39  3.66  1.41  1.34
141131.86+442001.0    0.259 G    212.882751465  44.333621979   20.59   18.94  7.00  1.66  1.44
141213.61+021202.1    0.295 I    213.056747436   2.200593948   18.36   18.60  1.30  0.78  2.93
141528.24-010514.9    0.380 I    213.867706299  -1.087486982   20.19   18.76  2.80  1.58  5.20
141213.61+021202.1    0.295 G    213.056747436   2.200593948   19.01   19.52  1.90  0.48  5.42
141131.86+442001.0    0.259 R    212.882751465  44.333621979   20.32   17.83  5.89  1.69  1.59
141007.12-012002.7    0.320 I    212.529693603  -1.334092021   19.59   19.42  1.68  1.14  3.75
141528.24-010514.9    0.380 G    213.867706299  -1.087486982   20.94   20.89  2.20  1.88  1.26
140034.70+004733.4    0.362 I    210.144622803   0.792621017   18.81   18.42  2.30  1.45  7.61
141213.61+021202.1    0.295 R    213.056747436   2.200593948   18.84   18.86  1.70  0.67  4.96
